model,MAE,RMSE,MAPE_%,AIC,BIC
AR(1),0.5823569796052961,0.7436241657466587,28.2849172716475,608.7688624462187,618.8807765306017
AR(2),0.5748367124461156,0.7492947101038052,28.93506299558827,592.3247109242129,605.7886149843004
AR(3),0.5541786381383108,0.7220907542832802,28.26934308440121,581.2792401363622,598.0857009649093
AR(4),0.5526024714138008,0.7156825993988415,28.311679674827634,581.25829948861,601.3978171366421
