Target,Family,Mean_MAE,Mean_RMSE,Std_RMSE,Mean_MAPE_pct
Attrition_Rate_Pct,SMA,0.6921875000000001,0.8388486282008772,0.17468934924628154,38.2603567318405
Attrition_Rate_Pct,WMA,0.7018019943019943,0.8484216584869411,0.14854353752708982,39.07146946028325
Attrition_Rate_Pct,SES,0.7284351941484631,0.867224359879096,0.24491485781360808,38.511063156752236
Attrition_Rate_Pct,Holt,0.7347411738416593,0.8729153503065991,0.23786573480126097,39.55849448724482
Attrition_Rate_Pct,auto_arima,0.7735436228450263,0.9233979645049897,0.3864087216339663,39.222235739798776
Attrition_Rate_Pct,Holt-Winters,0.8141012040103895,0.9688490960145034,0.3671442618853205,43.089923130381244
Attrition_Rate_Pct,SARIMAX,0.7972674704275086,0.9760256871419614,0.4328966253633679,37.02600274234805
Attrition_Rate_Pct,ARIMA,0.828839004343298,1.0062170836435622,0.4396353686727419,35.742244248354865
Attrition_Rate_Pct,AR,0.854681124451993,1.0467649996144304,0.4356042347646764,35.067324187112725
Attrition_Rate_Pct,Naive,0.8748611111111112,1.0515216404909138,0.17089281483381233,48.30089412819958
Attrition_Rate_Pct,MA,0.8908546331712924,1.0890078636025213,0.43923374206940724,35.634948069615085
Headcount,Naive,3.0555555555555554,3.583254589391618,1.7394473807672424,0.7337026790459839
Headcount,SARIMAX,5.215726309852381,6.4300001136188945,6.02416608842199,1.2898638049444273
Headcount,auto_arima,5.149178498385418,6.934710166965467,6.968692827469623,1.2685965956449645
Headcount,AR,5.48381789106769,7.0561305256396984,6.388956018542982,1.3140160271361503
Headcount,ARIMA,9.482016230721294,12.317833825696736,8.709696884067755,2.2305202158854094
Headcount,Holt,9.895842354681426,12.811861401944592,13.459225507768624,2.4453639747982168
Headcount,Holt-Winters,10.101992984514604,13.096157516165178,13.450914335035398,2.487498650240562
Headcount,WMA,12.632656695156697,13.3505345462385,7.784687665994164,2.971894628030928
Headcount,MA,13.046933844957456,15.637842708516516,8.357293591137761,3.0075352589448308
Headcount,SMA,17.14236111111111,17.96712685710965,10.77094014951056,3.998532550322811
Headcount,SES,15.861111157470281,18.31013335682931,10.676461124909133,3.636701385718542
