Target,Method,MAE,RMSE,MAPE_%
Attrition_Rate_Pct,Attrition_Rate_Pct - SES,0.5639225556032541,0.6657936368387276,35.82504339387767
Attrition_Rate_Pct,Attrition_Rate_Pct - Holt (level+trend),0.5773479510839449,0.6854530567251488,37.449259049287555
Attrition_Rate_Pct,Attrition_Rate_Pct - Holt-Winters (level+trend+seasonal),0.6799325371587582,0.8304671762202993,44.400048460522726
Headcount,Headcount - Holt-Winters (level+trend+seasonal),11.195040721126274,13.56990724578058,2.212804191647018
Headcount,Headcount - Holt (level+trend),11.730983135040864,14.315858645261454,2.3175968948699888
Headcount,Headcount - SES,25.416666693985462,30.03470217670416,5.031839034719809
